country,date,total vaccinated,1st dose,2nd dose
Afghanistan,22-02-2021,0,0,0
Afghanistan,23-02-2021,0,0,0
Afghanistan,24-02-2021,0,0,0
Afghanistan,25-02-2021,0,0,0
Afghanistan,26-02-2021,0,0,0
Afghanistan,27-02-2021,0,0,0
Afghanistan,28-02-2021,8200,8200,0
Afghanistan,01-03-2021,0,0,0
Afghanistan,02-03-2021,0,0,0
Afghanistan,03-03-2021,0,0,0
Afghanistan,04-03-2021,0,0,0
Afghanistan,05-03-2021,0,0,0
Afghanistan,06-03-2021,0,0,0
Afghanistan,07-03-2021,0,0,0
Afghanistan,08-03-2021,0,0,0
Afghanistan,09-03-2021,0,0,0
Afghanistan,10-03-2021,0,0,0
Afghanistan,11-03-2021,0,0,0
Afghanistan,12-03-2021,0,0,0
Afghanistan,13-03-2021,0,0,0
Afghanistan,14-03-2021,0,0,0
Afghanistan,15-03-2021,0,0,0
Afghanistan,16-03-2021,54000,54000,0
Afghanistan,17-03-2021,0,0,0
Afghanistan,18-03-2021,0,0,0
Afghanistan,19-03-2021,0,0,0
Afghanistan,20-03-2021,0,0,0
Afghanistan,21-03-2021,0,0,0
Afghanistan,22-03-2021,0,0,0
Afghanistan,23-03-2021,0,0,0
Afghanistan,24-03-2021,0,0,0
Afghanistan,25-03-2021,0,0,0
Afghanistan,26-03-2021,0,0,0
Afghanistan,27-03-2021,0,0,0
Afghanistan,28-03-2021,0,0,0
Afghanistan,29-03-2021,0,0,0
Afghanistan,30-03-2021,0,0,0
Afghanistan,31-03-2021,0,0,0
Afghanistan,01-04-2021,0,0,0
Afghanistan,02-04-2021,0,0,0
Afghanistan,03-04-2021,0,0,0
Afghanistan,04-04-2021,0,0,0
Afghanistan,05-04-2021,0,0,0
Afghanistan,06-04-2021,0,0,0
Afghanistan,07-04-2021,120000,120000,0
Afghanistan,08-04-2021,0,0,0
Afghanistan,09-04-2021,0,0,0
Afghanistan,10-04-2021,0,0,0
Afghanistan,11-04-2021,0,0,0
Afghanistan,12-04-2021,0,0,0
Afghanistan,13-04-2021,0,0,0
Afghanistan,14-04-2021,0,0,0
Afghanistan,15-04-2021,0,0,0
Afghanistan,16-04-2021,0,0,0
Afghanistan,17-04-2021,0,0,0
Afghanistan,18-04-2021,0,0,0
Afghanistan,19-04-2021,0,0,0
Afghanistan,20-04-2021,0,0,0
Afghanistan,21-04-2021,0,0,0
Afghanistan,22-04-2021,240000,240000,0
Afghanistan,23-04-2021,0,0,0
Afghanistan,24-04-2021,0,0,0
Afghanistan,25-04-2021,0,0,0
Afghanistan,26-04-2021,0,0,0
Afghanistan,27-04-2021,0,0,0
Afghanistan,28-04-2021,0,0,0
Afghanistan,29-04-2021,0,0,0
Afghanistan,30-04-2021,0,0,0
Afghanistan,01-05-2021,0,0,0
Afghanistan,02-05-2021,0,0,0
Afghanistan,03-05-2021,0,0,0
Afghanistan,04-05-2021,0,0,0
Afghanistan,05-05-2021,0,0,0
Afghanistan,06-05-2021,0,0,0
Afghanistan,07-05-2021,0,0,0
Afghanistan,08-05-2021,0,0,0
Afghanistan,09-05-2021,0,0,0
Afghanistan,10-05-2021,0,0,0
Afghanistan,11-05-2021,504502,448878,55624
Afghanistan,12-05-2021,0,0,0
Afghanistan,13-05-2021,0,0,0
Afghanistan,14-05-2021,0,0,0
Afghanistan,15-05-2021,0,0,0
Afghanistan,16-05-2021,0,0,0
Afghanistan,17-05-2021,0,0,0
Afghanistan,18-05-2021,0,0,0
Afghanistan,19-05-2021,0,0,0
Afghanistan,20-05-2021,547901,470341,77560
Afghanistan,21-05-2021,0,0,0
Afghanistan,22-05-2021,0,0,0
Afghanistan,23-05-2021,0,0,0
Afghanistan,24-05-2021,573277,476367,96910
Afghanistan,25-05-2021,0,0,0
Afghanistan,26-05-2021,590454,479372,111082
Afghanistan,27-05-2021,593313,479574,113739
Afghanistan,28-05-2021,0,0,0
Afghanistan,29-05-2021,0,0,0
Afghanistan,30-05-2021,600152,480226,119926
Afghanistan,31-05-2021,0,0,0
Afghanistan,01-06-2021,0,0,0
Afghanistan,02-06-2021,626290,481690,144600
Afghanistan,03-06-2021,630305,481800,148505
